Complexity metrics,Wed., 13 Oct. 2021 12:23:24 EDT,,
Method,CogC,ev(G),iv(G),v(G)
"com.amaze.filemanager.AmazeFileManagerModule.registerComponents(Context,Glide,Registry)",0,1,1,1
com.amaze.filemanager.LogHelper.LogHelper(),0,1,1,1
"com.amaze.filemanager.LogHelper.logOnProductionOrCrash(String,String)",2,2,2,2
com.amaze.filemanager.TagsHelper.TagsHelper(),0,1,1,1
com.amaze.filemanager.TagsHelper.getTag(Class<?>),0,1,1,1
"com.amaze.filemanager.adapters.ColorAdapter.ColorAdapter(Context,Integer[],int,OnColorSelected)",0,1,1,1
com.amaze.filemanager.adapters.ColorAdapter.getColorResAt(int),0,1,1,1
"com.amaze.filemanager.adapters.ColorAdapter.getView(int,View,ViewGroup)",3,1,2,3
"com.amaze.filemanager.adapters.ColorAdapter.onItemClick(AdapterView<?>,View,int,long)",0,1,1,1
"com.amaze.filemanager.adapters.CompressedExplorerAdapter.CompressedExplorerAdapter(Context,UtilitiesProvider,List<CompressedObjectParcelable>,CompressedExplorerFragment,Decompressor,SharedPreferences)",1,2,1,2
com.amaze.filemanager.adapters.CompressedExplorerAdapter.animate(CompressedItemViewHolder),0,1,1,1
com.amaze.filemanager.adapters.CompressedExplorerAdapter.generateZip(List<CompressedObjectParcelable>),0,1,1,1
com.amaze.filemanager.adapters.CompressedExplorerAdapter.getCheckedItemPositions(),3,1,3,3
com.amaze.filemanager.adapters.CompressedExplorerAdapter.getItemCount(),0,1,1,1
com.amaze.filemanager.adapters.CompressedExplorerAdapter.getItemId(int),0,1,1,1
com.amaze.filemanager.adapters.CompressedExplorerAdapter.getItemViewType(int),1,2,1,2
com.amaze.filemanager.adapters.CompressedExplorerAdapter.isPositionHeader(int),0,1,1,1
"com.amaze.filemanager.adapters.CompressedExplorerAdapter.onBindViewHolder(CompressedItemViewHolder,int)",44,1,16,17
"com.amaze.filemanager.adapters.CompressedExplorerAdapter.onCreateViewHolder(ViewGroup,int)",3,3,3,3
com.amaze.filemanager.adapters.CompressedExplorerAdapter.onFailedToRecycleView(CompressedItemViewHolder),0,1,1,1
com.amaze.filemanager.adapters.CompressedExplorerAdapter.onViewAttachedToWindow(CompressedItemViewHolder),1,1,2,2
com.amaze.filemanager.adapters.CompressedExplorerAdapter.onViewDetachedFromWindow(CompressedItemViewHolder),0,1,1,1
com.amaze.filemanager.adapters.CompressedExplorerAdapter.toggleChecked(boolean),1,1,2,2
"com.amaze.filemanager.adapters.CompressedExplorerAdapter.toggleChecked(int,ImageView)",7,1,5,6
"com.amaze.filemanager.adapters.HiddenAdapter.HiddenAdapter(Context,MainFragment,SharedPreferences,ArrayList<HybridFile>,MaterialDialog,boolean)",0,1,1,1
com.amaze.filemanager.adapters.HiddenAdapter.getItemCount(),0,1,1,1
com.amaze.filemanager.adapters.HiddenAdapter.getItemId(int),0,1,1,1
"com.amaze.filemanager.adapters.HiddenAdapter.onBindViewHolder(HiddenViewHolder,int)",12,2,6,7
"com.amaze.filemanager.adapters.HiddenAdapter.onCreateViewHolder(ViewGroup,int)",0,1,1,1
com.amaze.filemanager.adapters.HiddenAdapter.updateDialog(MaterialDialog),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.ListItem(LayoutElementParcelable),0,1,1,1
"com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.ListItem(boolean,LayoutElementParcelable)",1,1,1,2
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.ListItem(int),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.getAnimating(),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.getChecked(),3,3,1,3
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.getElem(),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.getShouldToggleDragChecked(),1,1,1,2
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.getSpecialType(),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.setAnimate(boolean),1,1,1,2
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.setChecked(boolean),1,1,1,2
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem.toggleShouldToggleDragChecked(),0,1,1,1
"com.amaze.filemanager.adapters.RecyclerAdapter.RecyclerAdapter(PreferenceActivity,MainFragment,UtilitiesProvider,SharedPreferences,RecyclerView,List<LayoutElementParcelable>,Context,boolean)",0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.addItem(LayoutElementParcelable),5,1,6,6
com.amaze.filemanager.adapters.RecyclerAdapter.animate(ItemViewHolder),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.areAllChecked(String),5,1,3,5
"com.amaze.filemanager.adapters.RecyclerAdapter.createHeaders(boolean,List<IconDataParcelable>)",12,5,9,10
com.amaze.filemanager.adapters.RecyclerAdapter.getBoolean(String),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.getCheckedItems(),3,1,3,3
com.amaze.filemanager.adapters.RecyclerAdapter.getCheckedItemsIndex(),3,1,3,3
"com.amaze.filemanager.adapters.RecyclerAdapter.getCorrectView(IconDataParcelable,int)",18,7,5,9
com.amaze.filemanager.adapters.RecyclerAdapter.getDragIconReference(String),2,1,2,3
com.amaze.filemanager.adapters.RecyclerAdapter.getDragShadow(int),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.getItemCount(),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.getItemId(int),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.getItemViewType(int),2,2,2,2
com.amaze.filemanager.adapters.RecyclerAdapter.getItemsDigested(),0,1,1,1
"com.amaze.filemanager.adapters.RecyclerAdapter.initDragListener(int,View,ItemViewHolder)",10,1,7,7
com.amaze.filemanager.adapters.RecyclerAdapter.invalidateActionMode(),3,1,5,5
"com.amaze.filemanager.adapters.RecyclerAdapter.onBindViewHolder(ViewHolder,int)",286,8,70,97
"com.amaze.filemanager.adapters.RecyclerAdapter.onCreateViewHolder(ViewGroup,int)",11,1,5,9
com.amaze.filemanager.adapters.RecyclerAdapter.onFailedToRecycleView(ViewHolder),0,1,1,1
com.amaze.filemanager.adapters.RecyclerAdapter.onViewAttachedToWindow(ViewHolder),2,1,2,3
com.amaze.filemanager.adapters.RecyclerAdapter.onViewDetachedFromWindow(ViewHolder),3,1,3,3
"com.amaze.filemanager.adapters.RecyclerAdapter.setItems(RecyclerView,List<LayoutElementParcelable>)",0,1,1,1
"com.amaze.filemanager.adapters.RecyclerAdapter.setItems(RecyclerView,List<LayoutElementParcelable>,boolean)",8,1,8,9
"com.amaze.filemanager.adapters.RecyclerAdapter.showPopup(View,LayoutElementParcelable)",11,1,18,19
"com.amaze.filemanager.adapters.RecyclerAdapter.showRoundedThumbnail(ItemViewHolder,IconDataParcelable,ImageView,OnImageProcessed)",4,2,2,4
"com.amaze.filemanager.adapters.RecyclerAdapter.showThumbnailWithBackground(ItemViewHolder,IconDataParcelable,ImageView,OnImageProcessed)",1,2,2,2
com.amaze.filemanager.adapters.RecyclerAdapter.toggleChecked(boolean),6,1,6,6
"com.amaze.filemanager.adapters.RecyclerAdapter.toggleChecked(boolean,String)",8,1,7,8
"com.amaze.filemanager.adapters.RecyclerAdapter.toggleChecked(int,ImageView)",19,3,11,12
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.CompressedObjectParcelable(),0,1,1,1
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.CompressedObjectParcelable(Parcel),2,1,2,2
"com.amaze.filemanager.adapters.data.CompressedObjectParcelable.CompressedObjectParcelable(String,long,long,boolean)",0,1,1,1
"com.amaze.filemanager.adapters.data.CompressedObjectParcelable.Sorter.compare(CompressedObjectParcelable,CompressedObjectParcelable)",7,5,5,7
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.describeContents(),0,1,1,1
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.equals(Object),3,2,5,5
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.getNameForPath(String),3,2,3,4
"com.amaze.filemanager.adapters.data.CompressedObjectParcelable.writeToParcel(Parcel,int)",3,1,2,3
com.amaze.filemanager.adapters.data.IconDataParcelable.IconDataParcelable(Parcel),0,1,1,1
"com.amaze.filemanager.adapters.data.IconDataParcelable.IconDataParcelable(int,String,int)",1,2,1,2
"com.amaze.filemanager.adapters.data.IconDataParcelable.IconDataParcelable(int,int)",1,2,1,2
com.amaze.filemanager.adapters.data.IconDataParcelable.describeContents(),0,1,1,1
com.amaze.filemanager.adapters.data.IconDataParcelable.isImageBroken(),0,1,1,1
com.amaze.filemanager.adapters.data.IconDataParcelable.setImageBroken(boolean),0,1,1,1
"com.amaze.filemanager.adapters.data.IconDataParcelable.writeToParcel(Parcel,int)",1,1,1,2
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Context,String,String,String,String,String,long,boolean,String,boolean,boolean,OpenMode)",0,1,1,1
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Context,String,String,String,String,long,boolean,String,boolean,boolean,OpenMode)",0,1,1,1
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Context,boolean,String,String,String,String,String,long,boolean,String,boolean,boolean,OpenMode)",17,1,2,11
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Context,boolean,String,boolean)",0,1,1,1
com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Parcel),0,1,1,1
com.amaze.filemanager.adapters.data.LayoutElementParcelable.describeContents(),0,1,1,1
com.amaze.filemanager.adapters.data.LayoutElementParcelable.generateBaseFile(),0,1,1,1
com.amaze.filemanager.adapters.data.LayoutElementParcelable.getMode(),0,1,1,1
com.amaze.filemanager.adapters.data.LayoutElementParcelable.hasSymlink(),1,1,2,2
com.amaze.filemanager.adapters.data.LayoutElementParcelable.setMode(OpenMode),0,1,1,1
com.amaze.filemanager.adapters.data.LayoutElementParcelable.toString(),0,1,1,1
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.writeToParcel(Parcel,int)",3,1,1,4
com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.StorageDirectoryParcelable(Parcel),0,1,1,1
"com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.StorageDirectoryParcelable(String,String,int)",0,1,1,1
com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.describeContents(),0,1,1,1
com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.toString(),0,1,1,1
"com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.writeToParcel(Parcel,int)",0,1,1,1
"com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.AppsAdapterPreloadModel(Fragment,boolean)",0,1,1,1
com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.getApplicationIconFromPackageName(String),1,1,2,2
com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.getPreloadItems(int),2,2,2,2
com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.getPreloadRequestBuilder(String),2,2,2,2
"com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.loadApkImage(String,ImageView)",2,1,2,2
com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.setItemList(List<String>),0,1,1,1
"com.amaze.filemanager.adapters.glide.RecyclerPreloadModelProvider.RecyclerPreloadModelProvider(Fragment,List<IconDataParcelable>,boolean)",2,1,2,2
com.amaze.filemanager.adapters.glide.RecyclerPreloadModelProvider.getPreloadItems(int),2,2,3,3
com.amaze.filemanager.adapters.glide.RecyclerPreloadModelProvider.getPreloadRequestBuilder(IconDataParcelable),3,1,3,3
com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.RecyclerPreloadSizeProvider(RecyclerPreloadSizeProviderCallback),0,1,1,1
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.SizeViewTarget.SizeViewTarget(View,SizeReadyCallback)",0,1,1,1
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.SizeViewTarget.onResourceReady(Object,Transition<? super Object>)",0,1,1,1
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.addView(int,View)",2,2,2,3
com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.closeOffAddition(),0,1,1,1
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.getPreloadSize(IconDataParcelable,int,int)",0,1,1,1
"com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.ApkImageDataFetcher(Context,String)",0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.cancel(),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.cleanup(),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.getDataClass(),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.getDataSource(),0,1,1,1
"com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.loadData(Priority,DataCallback<? super Drawable>)",2,1,2,2
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoader.ApkImageModelLoader(Context),0,1,1,1
"com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoader.buildLoadData(String,int,int,Options)",0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoader.handles(String),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoaderFactory.ApkImageModelLoaderFactory(Context),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoaderFactory.build(MultiModelLoaderFactory),0,1,1,1
