Lines of code metrics,Thu., 14 Oct. 2021 19:19:04 EDT,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
"com.amaze.filemanager.AmazeFileManagerModule.registerComponents(Context,Glide,Registry)",0,0,5,5,55.56%,,,,,,,,,,
com.amaze.filemanager.LogHelper.LogHelper(),0,0,1,1,10.00%,,,,,,,,,,
"com.amaze.filemanager.LogHelper.logOnProductionOrCrash(String,String)",0,0,7,7,70.00%,,,,,,,,,,
com.amaze.filemanager.TagsHelper.TagsHelper(),0,0,1,1,14.29%,,,,,,,,,,
com.amaze.filemanager.TagsHelper.getTag(Class<?>),0,0,4,4,57.14%,,,,,,,,,,
"com.amaze.filemanager.adapters.ColorAdapter.ColorAdapter(Context,Integer[],int,OnColorSelected)",4,8,15,7,31.91%,,,,,,,,,,
com.amaze.filemanager.adapters.ColorAdapter.OnColorSelected.onColorSelected(int),0,n/a,n/a,1,33.33%,,,,,,,,,,
com.amaze.filemanager.adapters.ColorAdapter.getColorResAt(int),0,0,4,4,8.51%,,,,,,,,,,
"com.amaze.filemanager.adapters.ColorAdapter.getView(int,View,ViewGroup)",0,0,14,14,29.79%,,,,,,,,,,
"com.amaze.filemanager.adapters.ColorAdapter.onItemClick(AdapterView<?>,View,int,long)",0,0,6,6,12.77%,,,,,,,,,,
"com.amaze.filemanager.adapters.CompressedExplorerAdapter.CompressedExplorerAdapter(Context,UtilitiesProvider,List<CompressedObjectParcelable>,CompressedExplorerFragment,Decompressor,SharedPreferences)",0,0,19,19,6.76%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.animate(CompressedItemViewHolder),0,0,8,8,2.85%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.generateZip(List<CompressedObjectParcelable>),0,0,7,7,2.49%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.getCheckedItemPositions(),0,0,9,9,3.20%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.getItemCount(),0,0,4,4,1.42%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.getItemId(int),0,0,4,4,1.42%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.getItemViewType(int),0,0,5,5,1.78%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.isPositionHeader(int),1,0,3,3,1.07%,,,,,,,,,,
"com.amaze.filemanager.adapters.CompressedExplorerAdapter.onBindViewHolder(CompressedItemViewHolder,int)",3,0,123,120,43.77%,,,,,,,,,,
"com.amaze.filemanager.adapters.CompressedExplorerAdapter.onCreateViewHolder(ViewGroup,int)",0,0,16,16,5.69%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.onFailedToRecycleView(CompressedItemViewHolder),0,0,6,6,2.14%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.onViewAttachedToWindow(CompressedItemViewHolder),0,0,9,9,3.20%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.onViewDetachedFromWindow(CompressedItemViewHolder),0,0,6,6,2.14%,,,,,,,,,,
com.amaze.filemanager.adapters.CompressedExplorerAdapter.toggleChecked(boolean),0,0,7,7,2.49%,,,,,,,,,,
"com.amaze.filemanager.adapters.CompressedExplorerAdapter.toggleChecked(int,ImageView)",7,6,40,31,14.23%,,,,,,,,,,
"com.amaze.filemanager.adapters.HiddenAdapter.HiddenAdapter(Context,MainFragment,SharedPreferences,ArrayList<HybridFile>,MaterialDialog,boolean)",0,0,14,14,12.84%,,,,,,,,,,
com.amaze.filemanager.adapters.HiddenAdapter.getItemCount(),0,0,4,4,3.67%,,,,,,,,,,
com.amaze.filemanager.adapters.HiddenAdapter.getItemId(int),0,0,4,4,3.67%,,,,,,,,,,
