Class Name;ATFD;CBO;DAC;DIT;LCOM;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.amaze.filemanager.AmazeFileManagerModule;0;2;0;3;1;2;2;0;0;0;20;0;1;20;1;0;4;0.0;1.0;1
com.amaze.filemanager.LogHelper;0;2;0;1;1;1;5;0;1;0;14;N/A;2;14;0;0;4;0.0;1.0;3
com.amaze.filemanager.TagsHelper;0;1;0;1;1;4;2;0;1;0;14;N/A;2;14;0;0;6;0.0;1.0;2
com.amaze.filemanager.adapters.ColorAdapter;0;5;2;3;1;15;18;0;2;5;78;0;4;76;1;0;13;0.3333;1.0;6
com.amaze.filemanager.adapters.ColorAdapter.OnColorSelected;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.adapters.CompressedExplorerAdapter;24;26;8;2;2;120;172;0;9;15;72;0;15;57;5;1;90;0.2857;1.0;44
com.amaze.filemanager.adapters.HiddenAdapter;7;12;7;2;2;38;45;0;4;10;58;0;6;48;1;0;39;0.3;1.0;12
com.amaze.filemanager.adapters.RecyclerAdapter;0;45;10;2;2;1;666;1;24;39;112;0;30;73;5;1;167;0.4335;0.9655;237
com.amaze.filemanager.adapters.RecyclerAdapter.ListElemType;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.adapters.RecyclerAdapter.ListItem;1;2;1;1;2;1;18;3;8;8;31;0;11;23;0;0;11;0.3571;0.625;17
com.amaze.filemanager.adapters.RecyclerAdapter.OnImageProcessed;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.adapters.data.CompressedObjectParcelable;0;4;3;1;3;11;60;0;3;13;32;0;7;21;1;8;29;0.0;1.0;17
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.Sorter;1;1;0;1;1;1;11;0;1;0;22;0;1;31;0;0;2;0.0;1.0;7
com.amaze.filemanager.adapters.data.IconDataParcelable;0;7;2;1;2;10;27;2;4;11;30;0;7;21;0;4;12;0.5;0.5;10
com.amaze.filemanager.adapters.data.LayoutElementParcelable;0;14;4;1;2;46;84;2;6;18;42;0;12;26;1;13;38;0.3333;0.6667;27
com.amaze.filemanager.adapters.data.StorageDirectoryParcelable;0;2;2;1;2;6;13;0;2;6;23;0;5;19;1;3;9;0.0;1.0;5
