Martin packaging metrics,Wed., 13 Oct. 2021 09:39:11 EDT
Package,A,Ca,Ce,D,I
"com.amaze.filemanager",0.00,6,2,0.75,0.25
"com.amaze.filemanager.adapters",0.38,41,740,0.32,0.95
"com.amaze.filemanager.adapters.data",0.00,431,43,0.91,0.09
"com.amaze.filemanager.adapters.glide",0.20,18,18,0.30,0.50
"com.amaze.filemanager.adapters.glide.apkimage",0.00,1,0,1.00,0.00
"com.amaze.filemanager.adapters.glide.cloudicon",0.00,1,8,0.11,0.89
"com.amaze.filemanager.application",0.00,189,30,0.86,0.14
"com.amaze.filemanager.asynchronous",0.50,14,34,0.21,0.71
"com.amaze.filemanager.asynchronous.asynctasks",0.18,34,810,0.14,0.96
"com.amaze.filemanager.asynchronous.asynctasks.ssh",0.00,0,4,0.00,1.00
"com.amaze.filemanager.asynchronous.asynctasks.texteditor.read",0.00,0,28,0.00,1.00
"com.amaze.filemanager.asynchronous.asynctasks.texteditor.write",0.00,0,69,0.00,1.00
"com.amaze.filemanager.asynchronous.broadcast_receivers",0.00,2,2,0.50,0.50
"com.amaze.filemanager.asynchronous.loaders",0.00,8,14,0.36,0.80
"com.amaze.filemanager.asynchronous.management",0.25,68,39,0.39,0.19
"com.amaze.filemanager.asynchronous.services",0.18,67,434,0.05,0.72
"com.amaze.filemanager.asynchronous.services.ftp",0.00,0,0,1.00,1.00
"com.amaze.filemanager.crashreport",0.00,7,18,0.28,0.78
"com.amaze.filemanager.database",0.17,421,248,0.46,0.39
"com.amaze.filemanager.database.daos",1.00,68,103,0.60,0.60
"com.amaze.filemanager.database.models",0.00,69,11,0.86,0.14
"com.amaze.filemanager.database.models.explorer",0.00,131,47,0.74,0.26
"com.amaze.filemanager.database.models.utilities",0.22,63,28,0.47,0.31
"com.amaze.filemanager.database.typeconverters",0.00,3,18,0.14,0.86
"com.amaze.filemanager.file_operations.exceptions",0.00,65,0,1.00,0.00
"com.amaze.filemanager.file_operations.filesystem",0.33,"1,095",0,0.67,0.00
"com.amaze.filemanager.file_operations.filesystem.cloud",0.17,15,14,0.35,0.48
"com.amaze.filemanager.file_operations.filesystem.compressed",0.00,18,0,1.00,0.00
"com.amaze.filemanager.file_operations.filesystem.smbstreamer",0.17,9,17,0.18,0.65
"com.amaze.filemanager.file_operations.filesystem.streams",1.00,20,0,0.00,0.00
"com.amaze.filemanager.file_operations.filesystem.usb",0.00,45,0,1.00,0.00
"com.amaze.filemanager.file_operations.shadows",0.00,2,0,1.00,0.00
"com.amaze.filemanager.file_operations.shadows.jcifs.smb",0.00,3,0,1.00,0.00
"com.amaze.filemanager.file_operations.utils",1.00,18,0,0.00,0.00
"com.amaze.filemanager.filesystem",0.18,855,834,0.33,0.50
"com.amaze.filemanager.filesystem.cloud",0.00,106,109,0.49,0.51
"com.amaze.filemanager.filesystem.compressed",0.50,35,96,0.23,0.73
"com.amaze.filemanager.filesystem.compressed.extractcontents",0.75,20,4,0.08,0.20
"com.amaze.filemanager.filesystem.compressed.sevenz",0.04,0,0,0.96,1.00
"com.amaze.filemanager.filesystem.files",0.17,243,655,0.10,0.74
"com.amaze.filemanager.filesystem.smb",0.00,0,0,1.00,1.00
"com.amaze.filemanager.filesystem.ssh",0.25,131,95,0.33,0.43
"com.amaze.filemanager.filesystem.ssh.test",0.33,20,19,0.18,0.49
"com.amaze.filemanager.filesystem.usb",0.00,0,19,0.00,1.00
"com.amaze.filemanager.shadows",0.00,18,0,1.00,0.00
"com.amaze.filemanager.shadows.jcifs.smb",0.00,1,0,1.00,0.00
"com.amaze.filemanager.ssh",0.00,0,26,0.00,1.00
"com.amaze.filemanager.test",0.33,18,27,0.07,0.60
"com.amaze.filemanager.ui",0.00,3,119,0.02,0.98
"com.amaze.filemanager.ui.activities",0.00,399,828,0.33,0.67
"com.amaze.filemanager.ui.activities.superclasses",0.20,226,152,0.40,0.40
"com.amaze.filemanager.ui.activities.texteditor",0.00,11,69,0.14,0.86
"com.amaze.filemanager.ui.colors",0.00,27,130,0.17,0.83
"com.amaze.filemanager.ui.dialogs",0.23,82,466,0.08,0.85
"com.amaze.filemanager.ui.dialogs.share",0.00,1,5,0.17,0.83
"com.amaze.filemanager.ui.fragments",0.17,331,"1,213",0.05,0.79
"com.amaze.filemanager.ui.fragments.preference_fragments",0.00,252,56,0.82,0.18
"com.amaze.filemanager.ui.icons",0.00,170,5,0.97,0.03
"com.amaze.filemanager.ui.notifications",0.00,58,17,0.77,0.23
"com.amaze.filemanager.ui.provider",0.00,62,9,0.87,0.13
"com.amaze.filemanager.ui.strings",0.00,2,8,0.20,0.80
"com.amaze.filemanager.ui.theme",0.00,288,2,0.99,0.01
"com.amaze.filemanager.ui.views",0.19,143,50,0.56,0.42
"com.amaze.filemanager.ui.views.appbar",0.25,65,74,0.22,0.54
"com.amaze.filemanager.ui.views.drawer",0.17,57,209,0.05,0.79
"com.amaze.filemanager.utils",0.12,672,411,0.51,0.38

